invoice_id,vendor_name,invoice_date,invoice_amount,department,status
INV-00001,Joseph LLC,2026-12-02,12878.16,Technology,Posted
INV-00002,Joseph LLC,2026-05-28,5086.92,Finance,Paid
INV-00003,Williams LLC,2026-07-01,14729.86,Sales,Paid
INV-00004,Joseph LLC,2026-02-22,350.74,Operations,Open
INV-00005,Hernandez LLC,2026-06-16,11367.91,Sales,Posted
INV-00006,"Johnson, Butler and Fleming",2026-04-27,10912.52,Sales,Posted
INV-00007,Villanueva LLC,2026-01-02,5553.39,Finance,Posted
INV-00008,Watson-Roberts,2026-09-26,1993.82,Operations,Open
INV-00009,Watson-Roberts,2026-12-22,10369.59,Finance,Posted
INV-00010,Watson-Roberts,2026-05-01,13762.92,Sales,Posted
INV-00011,"Newman, Jenkins and Cooper",2026-09-14,3507.53,Technology,Paid
INV-00012,Ferguson Inc,2026-06-22,6960.94,Sales,Open
INV-00013,,2026-04-16,10603.63,Marketing,Posted
INV-00014,Villanueva LLC,2026-12-10,12427.65,Marketing,Paid
INV-00015,"Martinez, Green and Lopez",2026-12-23,8001.22,Sales,Paid
INV-00016,Brown and Sons,2026-07-28,13779.36,Finance,Posted
INV-00017,"Wilkinson, Wallace and Torres",2026-02-23,13567.6,Marketing,Posted
INV-00018,Hernandez LLC,2026-07-25,2460.32,Marketing,Open
INV-00019,"Wilkinson, Wallace and Torres",2026-11-27,1964.54,Marketing,Open
INV-00020,"Martinez, Green and Lopez",2026-06-10,1591.39,Technology,Paid
INV-00021,"Martinez, Green and Lopez",2026-09-08,6938.13,Technology,Open
INV-00022,"Mann, Wade and Spence",2026-09-24,8567.69,Technology,Posted
INV-00023,"Johnson, Butler and Fleming",2026-11-24,12152.0,Technology,Open
INV-00024,"Wilkinson, Wallace and Torres",2026-02-20,12292.69,Marketing,Paid
INV-00025,Huber-Montgomery,2026-07-20,918.02,Finance,Posted
INV-00026,Rojas-Smith,2026-04-23,14913.32,Technology,Paid
INV-00027,"Buchanan, Tucker and Wade",2026-05-27,4484.59,Operations,Posted
INV-00028,Mcpherson Ltd,2026-11-03,14680.42,Sales,Open
INV-00029,Joseph LLC,2026-06-12,6865.92,Technology,Paid
INV-00030,"Mann, Wade and Spence",2026-02-03,10320.27,Operations,Posted
INV-00031,Brown and Sons,2026-01-21,12939.23,Operations,Posted
INV-00032,"Newman, Jenkins and Cooper",2026-08-22,6047.61,Operations,Paid
INV-00033,Watson-Roberts,2026-08-01,11403.65,Technology,Posted
INV-00034,Mcpherson Ltd,2026-03-22,10856.64,Marketing,Open
INV-00035,Villanueva LLC,2026-12-07,12394.57,Technology,Open
INV-00036,"Wilkinson, Wallace and Torres",2026-04-12,2538.04,Finance,Paid
