journal_id,transaction_date,account_id,department,amount,entry_type,description
JE-10001,2026-01-20,6500,Finance,16165.96,Debit,Score each.
JE-10001,2026-01-20,2000,Finance,-16165.96,Credit,Say quality throughout.
JE-10002,2026-01-03,6500,Operations,6499.85,Debit,All behavior discussion own.
JE-10002,2026-01-03,1000,Operations,-6499.85,Credit,Current practice nation determine operation.
JE-10003,2026-01-25,5000,Marketing,17079.14,Debit,Serve civil.
JE-10003,2026-01-25,2100,Marketing,-17079.14,Credit,Future choice whatever from.
JE-10004,2026-01-03,5000,Finance,10837.08,Debit,Grow gas.
JE-10004,2026-01-03,1000,Finance,-10837.08,Credit,Southern role movie.
JE-10005,2026-01-30,5000,Marketing,6200.19,Debit,Bad fall pick those.
JE-10005,2026-01-30,2100,Marketing,-6200.19,Credit,Officer relate animal direction.
JE-10006,2026-01-09,6300,Marketing,5371.52,Debit,Talk term.
JE-10006,2026-01-09,1000,Marketing,-5371.52,Credit,Everyone player half have.
JE-10007,2026-01-07,5000,Sales,11505.62,Debit,Reduce raise author.
JE-10007,2026-01-07,1000,Sales,-11505.62,Credit,Move each left.
JE-10008,2026-01-09,6200,Sales,17604.42,Debit,Detail food shoulder argue start.
JE-10008,2026-01-09,1000,Sales,-17604.42,Credit,Husband at tree note.
JE-10009,2026-01-22,5000,Sales,5775.19,Debit,Pretty how trip.
JE-10009,2026-01-22,1000,Sales,-5775.19,Credit,Central cause seat much.
JE-10010,2026-01-23,6200,Sales,9808.22,Debit,Today human despite young.
JE-10010,2026-01-23,2100,Sales,-9808.22,Credit,Management sense technology check civil.
JE-10011,2026-01-21,6500,Finance,6980.76,Debit,As high you more wife.
JE-10011,2026-01-21,2000,Finance,-6980.76,Credit,Quite boy.
JE-10012,2026-01-27,5000,Technology,13637.59,Debit,Shoulder future fall.
JE-10012,2026-01-27,2100,Technology,-13637.59,Credit,Law west then.
JE-10013,2026-01-08,6200,Marketing,7682.87,Debit,Seven medical blood personal.
JE-10013,2026-01-08,9999,Marketing,-7682.87,Credit,Participant check several much.
JE-10014,2026-01-24,5000,Finance,5211.07,Debit,Truth out major born guy.
JE-10014,2026-01-24,2100,Finance,-5211.07,Credit,Dream drive note.
JE-10015,2026-01-03,5000,Sales,6083.51,Debit,Staff within mouth call.
JE-10015,2026-01-03,1000,Sales,-6083.51,Credit,Water close month parent.
JE-10016,2026-01-29,6200,Technology,21728.85,Debit,Sense ready require human public.
JE-10016,2026-01-29,2000,Technology,-21728.85,Credit,Just military building different.
JE-10017,2026-01-11,6100,Sales,16074.27,Debit,Network open according remain arrive.
JE-10017,2026-01-11,2000,Sales,-16074.27,Credit,Town teacher.
JE-10018,2026-01-03,6500,Sales,9204.13,Debit,Everything magazine much.
JE-10018,2026-01-03,2100,Sales,-9204.13,Credit,Office drug list imagine behind.
JE-10019,2026-01-20,6500,Marketing,16376.87,Debit,Interest level rock pull.
JE-10019,2026-01-20,1000,Marketing,-16376.87,Credit,Art rock.
JE-10020,2026-01-25,6100,Operations,13586.43,Debit,Eat couple.
JE-10020,2026-01-25,2000,Operations,-13586.43,Credit,Cell contain leg themselves.
JE-10021,2026-01-03,6100,Marketing,9921.66,Debit,Better present music address behavior.
JE-10021,2026-01-03,2100,Marketing,-9796.66,Credit,Coach magazine degree.
JE-10022,2026-01-13,6100,Finance,8444.93,Debit,Clearly able.
JE-10022,2026-01-13,1000,Finance,-8444.93,Credit,Enter six lawyer institution.
JE-10023,2026-01-29,6200,Technology,20223.62,Debit,Product main couple design around.
JE-10023,2026-01-29,1000,Technology,-20223.62,Credit,Article finish anyone live try.
JE-10024,2026-01-16,6500,Marketing,5669.08,Debit,Whether bag.
JE-10024,2026-01-16,2000,Marketing,-5669.08,Credit,Attention attack technology.
JE-10025,2026-01-13,6300,Technology,5709.35,Debit,East organization people information on.
JE-10025,2026-01-13,2100,Technology,-5709.35,Credit,First end prove fire enter.
JE-10026,2026-01-04,6100,Sales,11741.87,Debit,Lead upon very.
JE-10026,2026-01-04,1000,Sales,-11741.87,Credit,Leader your.
JE-10027,2026-01-30,6200,Marketing,18752.23,Debit,Mrs media.
JE-10027,2026-01-30,2100,Marketing,-18752.23,Credit,Value thing these.
JE-10028,2026-01-12,6300,Marketing,14822.36,Debit,Just myself few.
JE-10028,2026-01-12,2000,Marketing,-14822.36,Credit,Account stage federal professional voice.
JE-10029,2026-01-05,6400,Operations,5873.36,Debit,Threat score.
JE-10029,2026-01-05,2000,Operations,-5873.36,Credit,Evening painting response.
JE-10030,2026-01-07,5000,Finance,2727.28,Debit,Measure economy traditional.
JE-10030,2026-01-07,1000,Finance,-2727.28,Credit,Begin interest.
JE-10031,2026-01-09,6400,Technology,15872.43,Debit,Four capital.
JE-10031,2026-01-09,1000,Technology,-15872.43,Credit,Claim kind relationship.
JE-10032,2026-01-17,6300,Marketing,9926.8,Debit,Away third.
JE-10032,2026-01-17,2100,Marketing,-9926.8,Credit,Nation strong old.
JE-10033,2026-01-05,5000,Marketing,6659.65,Debit,Among half value.
JE-10033,2026-01-05,2100,Marketing,-6659.65,Credit,Together decide.
JE-10034,2026-01-08,6200,Marketing,18157.68,Debit,Government nice.
JE-10034,2026-01-08,2100,Marketing,-18157.68,Credit,Wind see understand door.
JE-10035,2026-01-05,6300,Sales,8834.3,Debit,Thing agent say.
JE-10035,2026-01-05,1000,Sales,-8834.3,Credit,Site in prove same.
JE-10036,2026-01-08,6400,Sales,11616.23,Debit,Skin blue the.
JE-10036,2026-01-08,1000,Sales,-11616.23,Credit,Develop staff least figure.
JE-10037,2026-01-24,6500,Finance,12938.2,Debit,Development process huge.
JE-10037,2026-01-24,2000,Finance,-12938.2,Credit,Ten whom evidence.
JE-10038,2026-01-20,6400,Marketing,21120.9,Debit,Quickly such former agree.
JE-10038,2026-01-20,1000,Marketing,-21120.9,Credit,Condition while enter.
JE-10039,2026-01-04,6400,Operations,4244.56,Debit,Generation skill job worker.
JE-10039,2026-01-04,2100,Operations,-4244.56,Credit,History office.
JE-10040,2026-01-08,6200,Marketing,23003.09,Debit,Ability understand Mrs rest.
JE-10040,2026-01-08,2000,Marketing,-23003.09,Credit,Hair attorney professional.
JE-10041,2026-01-10,6200,Sales,977.18,Debit,Professional by tonight medical.
JE-10041,2026-01-10,1000,Sales,-977.18,Credit,For recent never court.
JE-10042,2026-01-20,5000,Marketing,1919.17,Debit,Quality total past feeling.
JE-10042,2026-01-20,1000,Marketing,-1919.17,Credit,Street fight decision size parent.
JE-10043,2026-01-10,6400,Finance,18431.74,Debit,Kind degree list top.
JE-10043,2026-01-10,1000,Finance,-18431.74,Credit,Probably exist professional.
JE-10044,2026-01-19,6400,Technology,3645.59,Debit,Stand seem.
JE-10044,2026-01-19,1000,Technology,-3645.59,Credit,Different current agency.
JE-10045,2026-01-08,6300,Marketing,6993.89,Debit,Particularly shoulder lay though.
JE-10045,2026-01-08,1000,Marketing,-6993.89,Credit,Create recent manager during prevent.
JE-10046,2026-01-01,6500,Operations,23258.38,Debit,Sing despite.
JE-10046,2026-01-01,2000,Operations,-23258.38,Credit,Let newspaper true building card.
JE-10047,2026-01-14,6300,Sales,10275.31,Debit,Write other wear through partner.
JE-10047,2026-01-14,2100,Sales,-10275.31,Credit,Interview trade knowledge city.
JE-10048,2026-01-26,6100,Operations,11561.41,Debit,Else easy point she.
JE-10048,2026-01-26,1000,Operations,-11561.41,Credit,Machine dream key require doctor.
JE-10049,2026-01-11,6400,Marketing,8783.1,Debit,Ball character him check degree.
JE-10049,2026-01-11,1000,Marketing,-8783.1,Credit,Imagine my indeed deal.
JE-10050,2026-01-13,5000,Finance,14916.78,Debit,Watch affect thing offer local.
JE-10050,2026-01-13,2100,Finance,-14916.78,Credit,Fear hope through structure.
JE-10051,2026-02-15,5000,Operations,15962.02,Debit,Son today major event magazine.
JE-10051,2026-02-15,1000,Operations,-15962.02,Credit,From quickly identify close.
JE-10052,2026-02-13,6400,Finance,21561.07,Debit,Wonder move trade.
JE-10052,2026-02-13,1000,Finance,-21561.07,Credit,North agree poor career left.
JE-10053,2026-02-02,6100,Technology,7322.69,Debit,Force lawyer front they.
JE-10053,2026-02-02,2100,Technology,-7322.69,Credit,Sell story edge.
JE-10054,2026-02-03,6400,Marketing,3741.64,Debit,See appear.
JE-10054,2026-02-03,2000,Marketing,-3741.64,Credit,Difference attention whatever American.
JE-10055,2026-02-01,6300,Technology,6453.43,Debit,Current after charge.
JE-10055,2026-02-01,1000,Technology,-6453.43,Credit,List boy way.
JE-10056,2026-02-13,6200,Technology,2810.98,Debit,Short cold parent.
JE-10056,2026-02-13,2000,Technology,-2810.98,Credit,Sing clearly.
JE-10057,2026-02-09,6500,Finance,10572.01,Debit,Agent find quality when however.
JE-10057,2026-02-09,2100,Finance,-10572.01,Credit,Away real physical.
JE-10058,2026-02-03,5000,Finance,24612.05,Debit,Sure outside building.
JE-10058,2026-02-03,2000,Finance,-24612.05,Credit,Site girl into have media.
JE-10059,2026-02-10,6100,Finance,18341.23,Debit,State black whether player.
JE-10059,2026-02-10,1000,Finance,-18341.23,Credit,Religious itself safe whole.
