period,department,account_id,budget_amount
2026-01,Finance,5000,48958.91
2026-01,Finance,6100,73807.14
2026-01,Finance,6200,10624.04
2026-01,Finance,6300,79787.11
2026-01,Finance,6400,19831.28
2026-01,Finance,6500,53449.02
2026-01,Operations,5000,65697.4
2026-01,Operations,6100,11898.4
2026-01,Operations,6200,68545.66
2026-01,Operations,6300,65666.54
2026-01,Operations,6400,14189.57
2026-01,Operations,6500,75671.05
2026-01,Sales,5000,8797.83
2026-01,Sales,6100,74309.88
2026-01,Sales,6200,37486.73
2026-01,Sales,6300,59332.31
2026-01,Sales,6400,42209.48
2026-01,Sales,6500,33704.71
2026-01,Technology,5000,36999.8
2026-01,Technology,6100,31545.74
2026-01,Technology,6200,73122.82
2026-01,Technology,6300,25623.63
2026-01,Technology,6400,38450.86
2026-01,Technology,6500,16147.36
2026-01,Marketing,5000,51057.99
2026-01,Marketing,6100,51273.29
2026-01,Marketing,6200,53545.88
2026-01,Marketing,6300,42416.87
2026-01,Marketing,6400,71208.39
2026-01,Marketing,6500,40927.32
2026-02,Finance,5000,11579.12
2026-02,Finance,6100,33726.15
2026-02,Finance,6200,36442.61
2026-02,Finance,6300,53198.94
2026-02,Finance,6400,64789.85
2026-02,Finance,6500,23686.08
2026-02,Operations,5000,79556.55
2026-02,Operations,6100,45774.25
2026-02,Operations,6200,6464.75
2026-02,Operations,6300,33687.36
2026-02,Operations,6400,58502.8
2026-02,Operations,6500,40976.33
2026-02,Sales,5000,63607.63
2026-02,Sales,6100,30802.56
2026-02,Sales,6200,47423.83
2026-02,Sales,6300,29120.33
2026-02,Sales,6400,25282.68
2026-02,Sales,6500,6954.72
2026-02,Technology,5000,49783.73
2026-02,Technology,6100,7197.76
2026-02,Technology,6200,65801.7
2026-02,Technology,6300,26069.95
2026-02,Technology,6400,65649.04
2026-02,Technology,6500,40376.33
2026-02,Marketing,5000,31807.47
2026-02,Marketing,6100,48799.17
2026-02,Marketing,6200,22457.16
2026-02,Marketing,6300,16971.86
2026-02,Marketing,6400,23589.28
2026-02,Marketing,6500,23086.46
2026-03,Finance,5000,45026.72
2026-03,Finance,6100,64342.79
2026-03,Finance,6200,60279.51
2026-03,Finance,6300,62303.73
2026-03,Finance,6400,76085.19
2026-03,Finance,6500,48176.91
2026-03,Operations,5000,78699.85
2026-03,Operations,6100,34131.69
2026-03,Operations,6200,75140.45
2026-03,Operations,6300,79365.64
2026-03,Operations,6400,18028.4
2026-03,Operations,6500,22741.33
2026-03,Sales,5000,28850.33
2026-03,Sales,6100,60357.88
2026-03,Sales,6200,31908.73
2026-03,Sales,6300,49367.19
2026-03,Sales,6400,57758.97
2026-03,Sales,6500,31376.16
2026-03,Technology,5000,47573.85
2026-03,Technology,6100,15657.67
2026-03,Technology,6200,76127.64
2026-03,Technology,6300,67752.26
2026-03,Technology,6400,65780.09
2026-03,Technology,6500,77779.08
2026-03,Marketing,5000,45659.35
2026-03,Marketing,6100,18166.76
2026-03,Marketing,6200,7847.28
2026-03,Marketing,6300,9212.6
2026-03,Marketing,6400,50124.71
2026-03,Marketing,6500,6494.6
2026-04,Finance,5000,40849.17
2026-04,Finance,6100,29880.05
2026-04,Finance,6200,51060.11
2026-04,Finance,6300,65483.41
2026-04,Finance,6400,30556.93
2026-04,Finance,6500,18309.49
2026-04,Operations,5000,65181.83
2026-04,Operations,6100,70116.28
2026-04,Operations,6200,9466.7
2026-04,Operations,6300,16078.4
2026-04,Operations,6400,57852.23
2026-04,Operations,6500,15623.95
2026-04,Sales,5000,13319.04
2026-04,Sales,6100,44472.12
2026-04,Sales,6200,32366.74
2026-04,Sales,6300,10439.87
2026-04,Sales,6400,57840.35
2026-04,Sales,6500,54660.47
2026-04,Technology,5000,48951.25
2026-04,Technology,6100,30242.08
2026-04,Technology,6200,29195.24
2026-04,Technology,6300,78189.55
2026-04,Technology,6400,59926.4
2026-04,Technology,6500,37765.13
2026-04,Marketing,5000,52944.95
